# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_Zeeman (J)	E_exch (J)	E_anis (J)	E_demag (J)
0	-0.100001305	0.99498725	0	-0.10000002	0	0	-1.6849234e-16	-3.3400199e-18	1.0910829e-23	-1.6533073e-16	1.7839653e-19
0	-0.11000142	0.9939313	0	-0.11000001	0	0	-1.6884306e-16	-4.0414237e-18	1.30972864e-23	-1.6498002e-16	1.7837902e-19
0	-0.12000154	0.9927736	0	-0.12	0	0	-1.6922714e-16	-4.809628e-18	1.5487616e-23	-1.6459588e-16	1.7835988e-19
0	-0.13000168	0.99151367	0	-0.13	0	0	-1.6964463e-16	-5.6446325e-18	1.8088235e-23	-1.6417834e-16	1.7833908e-19
0	-0.1400018	0.9901511	0	-0.14	0	0	-1.7009554e-16	-6.5464376e-18	2.0893248e-23	-1.6372745e-16	1.7831667e-19
0	-0.15000193	0.98868555	0	-0.14999999	0	0	-1.7057985e-16	-7.515043e-18	2.3903606e-23	-1.6324311e-16	1.782926e-19
0	-0.16000204	0.98711646	0	-0.15999998	0	0	-1.7109755e-16	-8.5504485e-18	2.7124714e-23	-1.6272539e-16	1.7826696e-19
0	-0.17000219	0.9854434	0	-0.16999999	0	0	-1.7164865e-16	-9.652654e-18	3.0549838e-23	-1.6217426e-16	1.782397e-19
0	-0.1800023	0.9836659	0	-0.18000005	0	0	-1.7223315e-16	-1.08216615e-17	3.417907e-23	-1.6158975e-16	1.7821082e-19
0	-0.1900024	0.98178333	0	-0.19000004	0	0	-1.7285106e-16	-1.2057467e-17	3.801189e-23	-1.6097181e-16	1.7818038e-19
0	-0.20000252	0.97979504	0	-0.20000003	0	0	-1.7350238e-16	-1.33600745e-17	4.2053897e-23	-1.603205e-16	1.7814831e-19
0	-0.21000262	0.9777005	0	-0.21000002	0	0	-1.7418708e-16	-1.472948e-17	4.629361e-23	-1.5963576e-16	1.7811473e-19
0	-0.22000276	0.9754988	0	-0.22000001	0	0	-1.7490517e-16	-1.6165685e-17	5.0742604e-23	-1.5891762e-16	1.7807955e-19
0	-0.23000285	0.9731894	0	-0.23	0	0	-1.7565667e-16	-1.7668694e-17	5.539243e-23	-1.5816608e-16	1.7804286e-19
0	-0.24000296	0.9707716	0	-0.24	0	0	-1.7644156e-16	-1.9238502e-17	6.024461e-23	-1.5738113e-16	1.7800461e-19
0	-0.25000307	0.96824443	0	-0.25	0	0	-1.7725988e-16	-2.0875105e-17	6.5307977e-23	-1.565628e-16	1.7796481e-19
0	-0.26000315	0.9656071	0	-0.26	0	0	-1.781116e-16	-2.2578514e-17	7.056065e-23	-1.5571109e-16	1.7792358e-19
0	-0.27000326	0.9628587	0	-0.27	0	0	-1.789967e-16	-2.4348723e-17	7.601809e-23	-1.5482592e-16	1.7788082e-19
0	-0.28000337	0.95999825	0	-0.28	0	0	-1.7991522e-16	-2.6185729e-17	8.167575e-23	-1.539074e-16	1.778366e-19
0	-0.29000348	0.95702463	0	-0.29	0	0	-1.8086709e-16	-2.8089538e-17	8.753373e-23	-1.5295544e-16	1.7779092e-19
0	-0.3000036	0.9539371	0	-0.29999998	0	0	-1.8185242e-16	-3.006015e-17	9.359173e-23	-1.5197011e-16	1.7774378e-19
0	-0.31000367	0.9507344	0	-0.30999997	0	0	-1.8287112e-16	-3.2097553e-17	9.984398e-23	-1.5095137e-16	1.7769522e-19
0	-0.32000378	0.94741523	0	-0.31999996	0	0	-1.8392321e-16	-3.4201758e-17	1.0630005e-22	-1.4989921e-16	1.7764526e-19
0	-0.33000383	0.9439784	0	-0.32999995	0	0	-1.8500872e-16	-3.6372766e-17	1.1294438e-22	-1.4881367e-16	1.7759396e-19
0	-0.3400039	0.9404228	0	-0.33999997	0	0	-1.8612762e-16	-3.8610564e-17	1.1978704e-22	-1.4769474e-16	1.7754128e-19
0	-0.35000396	0.93674695	0	-0.34999993	0	0	-1.8727992e-16	-4.0915172e-17	1.2680515e-22	-1.4654236e-16	1.7748732e-19
0	-0.3600041	0.93294936	0	-0.3600001	0	0	-1.8846565e-16	-4.3286586e-17	1.340527e-22	-1.4535662e-16	1.7743192e-19
0	-0.37000418	0.9290286	0	-0.36999992	0	0	-1.8968476e-16	-4.5724794e-17	1.4147548e-22	-1.4413748e-16	1.7737527e-19
0	-0.38000417	0.9249831	0	-0.38000008	0	0	-1.9093727e-16	-4.822979e-17	1.4907844e-22	-1.4288493e-16	1.7731742e-19
0	-0.39000422	0.92081136	0	-0.3899999	0	0	-1.9222316e-16	-5.0801592e-17	1.5687503e-22	-1.4159899e-16	1.772583e-19
0	-0.4000043	0.9165115	0	-0.40000007	0	0	-1.9354246e-16	-5.34402e-17	1.6486065e-22	-1.4027963e-16	1.7719798e-19
0	-0.41000435	0.91208166	0	-0.4099999	0	0	-1.9489517e-16	-5.614559e-17	1.7302408e-22	-1.3892688e-16	1.7713649e-19
0	-0.42000434	0.90752	0	-0.42000005	0	0	-1.9628126e-16	-5.891779e-17	1.813644e-22	-1.3754073e-16	1.7707387e-19
0	-0.43000442	0.9028246	0	-0.4299999	0	0	-1.977008e-16	-6.175679e-17	1.8988305e-22	-1.3612119e-16	1.7701016e-19
0	-0.44000456	0.8979932	0	-0.44000003	0	0	-1.9915369e-16	-6.466261e-17	1.9861873e-22	-1.346682e-16	1.7694526e-19
0	-0.45000458	0.89302385	0	-0.44999987	0	0	-2.0063999e-16	-6.7635204e-17	2.0751871e-22	-1.3318188e-16	1.7687933e-19
0	-0.46000454	0.8879139	0	-0.46	0	0	-2.0215969e-16	-7.0674596e-17	2.1658816e-22	-1.3166211e-16	1.7681245e-19
0	-0.4700046	0.8826613	0	-0.46999985	0	0	-2.037128e-16	-7.378079e-17	2.2582727e-22	-1.3010899e-16	1.7674459e-19
0	-0.4800046	0.87726307	0	-0.48	0	0	-2.0529928e-16	-7.6953784e-17	2.3521005e-22	-1.285224e-16	1.766759e-19
0	-0.49000457	0.8717168	0	-0.48999983	0	0	-2.069192e-16	-8.019357e-17	2.4478566e-22	-1.2690248e-16	1.7660624e-19
0	-0.50000435	0.8660196	0	-0.5	0	0	-2.0857249e-16	-8.3500124e-17	2.5454345e-22	-1.2524916e-16	1.7653576e-19
0	-0.5100044	0.8601683	0	-0.51000017	0	0	-2.1025921e-16	-8.687354e-17	2.6439556e-22	-1.2356241e-16	1.7646456e-19
0	-0.5200044	0.8541599	0	-0.52	0	0	-2.1197931e-16	-9.031372e-17	2.7450302e-22	-1.2184226e-16	1.7639247e-19
0	-0.5300044	0.84799105	0	-0.5299998	0	0	-2.1373282e-16	-9.38207e-17	2.8470518e-22	-1.2008873e-16	1.7631983e-19
0	-0.5400047	0.8416579	0	-0.54	0	0	-2.1551972e-16	-9.739456e-17	2.9506117e-22	-1.183017e-16	1.7624644e-19
0	-0.5500046	0.8351574	0	-0.55000013	0	0	-2.1734003e-16	-1.0103511e-16	3.0557314e-22	-1.1648139e-16	1.7617258e-19
0	-0.56000435	0.82848513	0	-0.56	0	0	-2.1919372e-16	-1.04742466e-16	3.1621077e-22	-1.1462768e-16	1.7609822e-19
0	-0.57000417	0.82163703	0	-0.5700001	0	0	-2.2108081e-16	-1.08516614e-16	3.269945e-22	-1.1274056e-16	1.7602349e-19
0	-0.5800044	0.8146083	0	-0.58	0	0	-2.2300133e-16	-1.1235764e-16	3.3791754e-22	-1.1081997e-16	1.759482e-19
0	-0.5900041	0.80739474	0	-0.5900001	0	0	-2.2495522e-16	-1.1626538e-16	3.4895142e-22	-1.0886606e-16	1.7587279e-19
0	-0.60000396	0.79999137	0	-0.59999996	0	0	-2.2694255e-16	-1.2023993e-16	3.6010526e-22	-1.0687877e-16	1.7579718e-19
0	-0.6100036	0.7923926	0	-0.6100001	0	0	-2.2896322e-16	-1.2428125e-16	3.7128868e-22	-1.0485806e-16	1.757216e-19
0	-0.62000316	0.78459287	0	-0.61999995	0	0	-2.3101733e-16	-1.2838936e-16	3.8273552e-22	-1.02804e-16	1.756457e-19
0	-0.6300036	0.7765855	0	-0.63000005	0	0	-2.3310482e-16	-1.3256441e-16	3.9421576e-22	-1.00716367e-16	1.7556977e-19
0	-0.64000314	0.76836514	0	-0.6399999	0	0	-2.3522573e-16	-1.368061e-16	4.0574156e-22	-9.8595515e-17	1.754943e-19
0	-0.6500027	0.7599243	0	-0.65000004	0	0	-2.3738e-16	-1.4111458e-16	4.1730643e-22	-9.6441266e-17	1.754192e-19
0	-0.6600021	0.7512557	0	-0.6599999	0	0	-2.3956773e-16	-1.4548986e-16	4.289742e-22	-9.425364e-17	1.7534442e-19
0	-0.6700024	0.74235046	0	-0.67	0	0	-2.417888e-16	-1.4993207e-16	4.4079755e-22	-9.203245e-17	1.7526984e-19
0	-0.6800022	0.733201	0	-0.67999995	0	0	-2.440433e-16	-1.5444103e-16	4.5258487e-22	-8.977793e-17	1.7519605e-19
0	-0.6900015	0.7237983	0	-0.68999994	0	0	-2.463312e-16	-1.5901662e-16	4.644295e-22	-8.749017e-17	1.7512316e-19
0	-0.700001	0.71413165	0	-0.69999987	0	0	-2.486525e-16	-1.6365907e-16	4.762134e-22	-8.516894e-17	1.7505141e-19
0	-0.7100005	0.7041904	0	-0.71	0	0	-2.5100718e-16	-1.6836833e-16	4.8796426e-22	-8.2814325e-17	1.7498083e-19
0	-0.72000086	0.69396174	0	-0.7200002	0	0	-2.5339525e-16	-1.7314457e-16	4.9990795e-22	-8.042611e-17	1.7491071e-19
0	-0.73000014	0.6834349	0	-0.72999996	0	0	-2.5581673e-16	-1.7798735e-16	5.116679e-22	-7.800476e-17	1.7484282e-19
0	-0.73999965	0.6725943	0	-0.73999983	0	0	-2.5827165e-16	-1.8289698e-16	5.2328443e-22	-7.554996e-17	1.7477681e-19
0	-0.74999887	0.66142523	0	-0.75	0	0	-2.6075994e-16	-1.8787338e-16	5.346971e-22	-7.30618e-17	1.7471302e-19
0	-0.75999904	0.6499094	0	-0.76000017	0	0	-2.632816e-16	-1.9291678e-16	5.4655883e-22	-7.054003e-17	1.7464974e-19
0	-0.76999795	0.63803035	0	-0.77000004	0	0	-2.6583668e-16	-1.9802667e-16	5.5788344e-22	-6.798517e-17	1.7459038e-19
0	-0.7799971	0.62576616	0	-0.7799998	0	0	-2.6842514e-16	-2.0320336e-16	5.6897616e-22	-6.53969e-17	1.7453398e-19
0	-0.7899962	0.6130934	0	-0.79	0	0	-2.7104705e-16	-2.0844692e-16	5.798867e-22	-6.27752e-17	1.7448062e-19
0	-0.7999961	0.5999855	0	-0.80000013	0	0	-2.737023e-16	-2.1375742e-16	5.9076645e-22	-6.011992e-17	1.7442988e-19
0	-0.8099952	0.5864152	0	-0.8100003	0	0	-2.7639098e-16	-2.1913452e-16	6.01201e-22	-5.743145e-17	1.7438374e-19
0	-0.81999385	0.5723492	0	-0.8199998	0	0	-2.7911305e-16	-2.245783e-16	6.1107e-22	-5.470972e-17	1.7434288e-19
0	-0.8299942	0.5577467	0	-0.83	0	0	-2.818685e-16	-2.3008935e-16	6.2079324e-22	-5.1954096e-17	1.743057e-19
0	-0.83999425	0.54256773	0	-0.8400001	0	0	-2.8465739e-16	-2.356671e-16	6.2983215e-22	-4.916519e-17	1.7427491e-19
0	-0.8499915	0.52676624	0	-0.85000026	0	0	-2.8747965e-16	-2.4131087e-16	6.383465e-22	-4.634366e-17	1.7425104e-19
0	-0.8599892	0.51027906	0	-0.8599998	0	0	-2.903353e-16	-2.4702154e-16	6.4588765e-22	-4.348864e-17	1.742352e-19
0	-0.86998856	0.49303514	0	-0.86999995	0	0	-2.9322436e-16	-2.5279952e-16	6.528359e-22	-4.0599742e-17	1.7422656e-19
0	-0.8799863	0.4749583	0	-0.88000005	0	0	-2.961468e-16	-2.5864373e-16	6.586493e-22	-3.7677958e-17	1.742284e-19
0	-0.8899843	0.45594543	0	-0.8900002	0	0	-2.991026e-16	-2.6455483e-16	6.632773e-22	-3.4722696e-17	1.7424124e-19
0	-0.89998484	0.43586934	0	-0.89999974	0	0	-3.020919e-16	-2.7053354e-16	6.6682203e-22	-3.1733282e-17	1.7426567e-19
0	-0.9099797	0.4145935	0	-0.9099999	0	0	-3.051145e-16	-2.7657727e-16	6.681192e-22	-2.87122e-17	1.7430785e-19
0	-0.91997564	0.39190683	0	-0.92	0	0	-3.0817054e-16	-2.8268817e-16	6.673547e-22	-2.5657427e-17	1.7436794e-19
0	-0.92997074	0.36755282	0	-0.9300002	0	0	-3.112599e-16	-2.8886547e-16	6.6394855e-22	-2.256958e-17	1.7445028e-19
0	-0.9399661	0.34117052	0	-0.9399997	0	0	-3.143827e-16	-2.9510967e-16	6.5725316e-22	-1.9448257e-17	1.7456018e-19
0	-0.9499597	0.31225175	0	-0.94999987	0	0	-3.1753883e-16	-3.0142004e-16	6.4571075e-22	-1.6294156e-17	1.7470596e-19
0	-0.9599508	0.28001228	0	-0.96	0	0	-3.2072836e-16	-3.077964e-16	6.280761e-22	-1.3107513e-17	1.7489948e-19
0	-0.9699408	0.24312395	0	-0.9700002	0	0	-3.2395132e-16	-3.1423924e-16	6.011918e-22	-9.88788e-18	1.7516026e-19
0	-0.9799188	0.199057	0	-0.97999966	0	0	-3.2720758e-16	-3.2074475e-16	5.596014e-22	-6.63891e-18	1.7552565e-19
0	-0.9898757	0.14121816	0	-0.98999983	0	0	-3.3049714e-16	-3.2730997e-16	4.911584e-22	-3.3637254e-18	1.7608066e-19
0	-0.9992858	0.0019218262	0	-1	0	0	-3.3382008e-16	-3.337591e-16	5.421719e-22	-2.3826953e-19	1.767308e-19
0	-0.99994975	1.3394441e-05	0	-1.0100001	0	0	-3.3715932e-16	-3.3732068e-16	7.08111e-23	-1.6779312e-20	1.7802731e-19
0	-0.9999847	1.8317618e-07	0	-1.0200003	0	0	-3.4049925e-16	-3.406724e-16	3.201706e-23	-5.1262737e-21	1.7822572e-19
0	-0.9999925	8.4240526e-10	0	-1.0299999	0	0	-3.438391e-16	-3.4401494e-16	2.0412988e-23	-2.4988026e-21	1.7830073e-19
